日付,価格
1988-09-14,134.15
1988-09-15,133.77
1988-09-16,133.19
1988-09-19,132.35
1988-09-20,133.83
1988-09-21,133.91
1988-09-22,133.07
1988-09-23,134.16
1988-09-26,134.72
1988-09-27,134.12
1988-09-28,134.46
1988-09-29,134.26
1988-09-30,134.6
1988-10-03,135.44
1988-10-04,135.38
1988-10-05,136.81
1988-10-06,135.26
1988-10-07,134.4
1988-10-10,134.34
1988-10-11,134.86
1988-10-12,128.91
1988-10-13,127.34
1988-10-14,126.42
1988-10-17,127.08
1988-10-18,127.18
1988-10-19,127.34
1988-10-20,126.68
1988-10-21,126.08
1988-10-24,127.06
1988-10-25,126.62
1988-10-26,125.55
1988-10-27,125.71
1988-10-28,125.49
1988-10-31,125.53
1988-11-01,124.89
1988-11-02,124.23
1988-11-03,124.59
1988-11-04,124.89
1988-11-07,124.45
1988-11-08,125.57
1988-11-09,123.75
1988-11-10,123.81
1988-11-11,122.74
1988-11-14,123.75
1988-11-15,123.22
1988-11-16,122.12
1988-11-17,121.96
1988-11-18,122.5
1988-11-21,121.78
1988-11-22,121.21
1988-11-23,121.05
1988-11-24,120.71
1988-11-25,121.23
1988-11-28,122.26
1988-11-29,121.74
1988-11-30,121.39
1988-12-01,121.41
1988-12-02,121.21
1988-12-05,121.47
1988-12-06,121.86
1988-12-07,123.71
1988-12-08,122.32
1988-12-09,122.52
1988-12-12,122.78
1988-12-13,123.26
1988-12-14,122.74
1988-12-15,123.89
1988-12-16,123.93
1988-12-19,124.13
1988-12-20,125.21
1988-12-21,124.45
1988-12-22,124.55
1988-12-23,124.63
1988-12-26,124.71
1988-12-27,124.87
1988-12-28,125.65
1988-12-29,125.53
1988-12-30,124.93
1989-01-02,124.73
1989-01-03,123.79
1989-01-04,124.99
1989-01-05,126.02
1989-01-06,126.74
1989-01-09,125.9
1989-01-10,126.28
1989-01-11,125.96
1989-01-12,126.42
1989-01-13,127.32
1989-01-16,127.86
1989-01-17,127.76
1989-01-18,128.55
1989-01-19,128.49
1989-01-20,127.63
1989-01-23,127.38
1989-01-24,127.69
1989-01-25,127.25
1989-01-26,128.26
1989-01-27,129.27
1989-01-30,129.32
1989-01-31,130.27
1989-02-01,130.29
1989-02-02,129.46
1989-02-03,129.17
1989-02-06,129.3
1989-02-07,129.49
1989-02-08,129.44
1989-02-09,127.93
1989-02-10,128.71
1989-02-13,127.84
1989-02-14,126.22
1989-02-15,126.18
1989-02-16,125.96
1989-02-17,125.75
1989-02-20,126.36
1989-02-21,126.96
1989-02-22,126.18
1989-02-23,126.2
1989-02-24,126.03
1989-02-27,126.76
1989-02-28,126.83
1989-03-01,128.2
1989-03-02,128.39
1989-03-03,127.67
1989-03-06,129.11
1989-03-07,128.71
1989-03-08,129.17
1989-03-09,128.68
1989-03-10,129.4
1989-03-13,130.1
1989-03-14,129.68
1989-03-15,130.69
1989-03-16,130.88
1989-03-17,131.68
1989-03-20,131.21
1989-03-21,131.32
1989-03-22,130.98
1989-03-23,131.17
1989-03-24,131.36
1989-03-27,132.61
1989-03-28,133.07
1989-03-29,133.07
1989-03-30,131.91
1989-03-31,132.71
1989-04-03,131.6
1989-04-04,130.88
1989-04-05,131.68
1989-04-06,132.23
1989-04-07,132.76
1989-04-10,132.78
1989-04-11,132.69
1989-04-12,133.03
1989-04-13,131.97
1989-04-14,131.97
1989-04-17,132.12
